"","trt","treatment","rep","start_day","time","event"
"216","2b-19","2b","19",42531,18,1
"217","2b-19","2b","19",42531,18,1
"218","3c-11","3c","11",42529,20,1
"219","3c-11","3c","11",42529,20,1
"220","3c-12","3c","12",42529,20,1
"221","3c-12","3c","12",42529,20,1
"222","3c-12","3c","12",42529,20,1
"223","3c-12","3c","12",42529,20,1
"224","3c-12","3c","12",42529,20,1
"225","3c-12","3c","12",42529,20,1
"226","3c-13","3c","13",42529,20,1
"227","3c-13","3c","13",42529,20,1
"228","3c-13","3c","13",42529,20,1
"229","3c-13","3c","13",42529,20,1
"230","3c-13","3c","13",42529,20,1
"231","3c-13","3c","13",42529,20,1
"232","3c-13","3c","13",42529,20,1
"233","3c-13","3c","13",42529,20,1
"234","3c-13","3c","13",42529,20,1
"235","3c-13","3c","13",42529,20,1
"236","3c-13","3c","13",42529,20,1
"237","3c-13","3c","13",42529,20,1
"238","3c-14","3c","14",42530,19,1
"239","3c-14","3c","14",42530,19,1
"240","3c-14","3c","14",42530,19,1
"241","3c-14","3c","14",42530,19,1
"242","3c-14","3c","14",42530,19,1
"243","3c-14","3c","14",42530,19,1
"244","3c-14","3c","14",42530,19,1
"245","3c-14","3c","14",42530,19,1
"246","3c-14","3c","14",42530,19,1
"247","3c-14","3c","14",42530,19,1
"248","3c-14","3c","14",42530,19,1
"249","3c-14","3c","14",42530,19,1
"250","3c-14","3c","14",42530,19,1
"251","3c-14","3c","14",42530,19,1
"252","3c-14","3c","14",42530,19,1
"253","3c-14","3c","14",42530,19,1
"254","3c-14","3c","14",42530,19,1
"255","3c-15","3c","15",42530,19,1
"256","3c-16","3c","16",42530,19,1
"257","3c-16","3c","16",42530,19,1
"258","3c-16","3c","16",42530,19,1
"259","3c-16","3c","16",42530,19,1
"260","3c-16","3c","16",42530,19,1
"261","3c-16","3c","16",42530,19,1
"262","3c-16","3c","16",42530,19,1
"263","3c-16","3c","16",42530,19,1
"264","3c-16","3c","16",42530,19,1
"265","3c-18","3c","18",42531,18,1
"266","3c-18","3c","18",42531,18,1
"267","3c-18","3c","18",42531,18,1
"268","3c-18","3c","18",42531,18,1
"269","3c-19","3c","19",42531,18,1
"270","3c-19","3c","19",42531,18,1
"271","3c-19","3c","19",42531,18,1
"272","3c-19","3c","19",42531,18,1
"273","3c-19","3c","19",42531,18,1
"274","3c-19","3c","19",42531,18,1
"275","3c-19","3c","19",42531,18,1
"276","3c-19","3c","19",42531,18,1
"277","3c-19","3c","19",42531,18,1
"278","4d-11","4d","11",42529,20,1
"279","4d-11","4d","11",42529,20,1
"280","4d-11","4d","11",42529,20,1
"281","4d-11","4d","11",42529,20,1
"282","4d-11","4d","11",42529,20,1
"283","4d-11","4d","11",42529,20,1
"284","4d-11","4d","11",42529,20,1
"285","4d-11","4d","11",42529,20,1
"286","4d-11","4d","11",42529,20,1
"287","4d-11","4d","11",42529,20,1
"288","4d-11","4d","11",42529,20,1
"289","4d-11","4d","11",42529,20,1
"290","4d-11","4d","11",42529,20,1
"291","4d-12","4d","12",42529,20,1
"292","4d-12","4d","12",42529,20,1
"293","4d-12","4d","12",42529,20,1
"294","4d-12","4d","12",42529,20,1
"295","4d-12","4d","12",42529,20,1
"296","4d-12","4d","12",42529,20,1
"297","4d-12","4d","12",42529,20,1
"298","4d-12","4d","12",42529,20,1
"299","4d-12","4d","12",42529,20,1
"300","4d-12","4d","12",42529,20,1
"301","4d-12","4d","12",42529,20,1
"302","4d-12","4d","12",42529,20,1
"303","4d-12","4d","12",42529,20,1
"304","4d-13","4d","13",42529,20,1
"305","4d-13","4d","13",42529,20,1
"306","4d-13","4d","13",42529,20,1
"307","4d-13","4d","13",42529,20,1
"308","4d-13","4d","13",42529,20,1
"309","4d-13","4d","13",42529,20,1
"310","4d-13","4d","13",42529,20,1
"311","4d-13","4d","13",42529,20,1
"312","4d-13","4d","13",42529,20,1
"313","4d-13","4d","13",42529,20,1
"314","4d-14","4d","14",42530,19,1
"315","4d-14","4d","14",42530,19,1
"316","4d-14","4d","14",42530,19,1
"317","4d-14","4d","14",42530,19,1
"318","4d-14","4d","14",42530,19,1
"319","4d-14","4d","14",42530,19,1
"320","4d-14","4d","14",42530,19,1
"321","4d-15","4d","15",42530,19,1
"322","4d-15","4d","15",42530,19,1
"323","4d-15","4d","15",42530,19,1
"324","4d-15","4d","15",42530,19,1
"325","4d-15","4d","15",42530,19,1
"326","4d-15","4d","15",42530,19,1
"327","4d-15","4d","15",42530,19,1
"328","4d-15","4d","15",42530,19,1
"329","4d-17","4d","17",42531,18,1
"330","4d-17","4d","17",42531,18,1
"331","4d-17","4d","17",42531,18,1
"332","4d-18","4d","18",42531,18,1
"333","4d-18","4d","18",42531,18,1
"334","4d-19","4d","19",42531,18,1
"335","11c-11","11c","11",42529,20,1
"336","11c-12","11c","12",42529,20,1
"337","11c-12","11c","12",42529,20,1
"338","11c-13","11c","13",42529,20,1
"339","11c-17","11c","17",42531,18,1
"340","13g-13","13g","13",42529,20,1
"341","13g-13","13g","13",42529,20,1
"342","13g-14","13g","14",42530,19,1
"343","13g-19","13g","19",42531,18,1
"344","15h-12","15h","12",42529,20,1
"345","15h-15","15h","15",42530,19,1
"346","16i-11","16i","11",42529,20,1
"347","16i-11","16i","11",42529,20,1
"348","16i-11","16i","11",42529,20,1
"349","16i-13","16i","13",42529,20,1
"350","16i-13","16i","13",42529,20,1
"351","16i-15","16i","15",42530,19,1
"352","16i-15","16i","15",42530,19,1
"353","16i-15","16i","15",42530,19,1
"354","16i-15","16i","15",42530,19,1
"355","16i-15","16i","15",42530,19,1
"356","16i-16","16i","16",42530,19,1
"357","16i-16","16i","16",42530,19,1
"358","16i-16","16i","16",42530,19,1
"359","16i-16","16i","16",42530,19,1
"360","16i-16","16i","16",42530,19,1
"361","16i-16","16i","16",42530,19,1
"362","16i-16","16i","16",42530,19,1
"363","16i-16","16i","16",42530,19,1
"364","16i-16","16i","16",42530,19,1
"365","16i-16","16i","16",42530,19,1
"366","16i-16","16i","16",42530,19,1
"367","16i-17","16i","17",42531,18,1
"368","16i-17","16i","17",42531,18,1
"369","16i-17","16i","17",42531,18,1
"370","16i-17","16i","17",42531,18,1
"371","16i-19","16i","19",42531,18,1
"372","28n-15","28n","15",42530,19,1
"373","28n-18","28n","18",42531,18,1
"374","28n-18","28n","18",42531,18,1
"375","28n-18","28n","18",42531,18,1
"376","28n-18","28n","18",42531,18,1
"377","28n-18","28n","18",42531,18,1
"378","28n-18","28n","18",42531,18,1
"379","30p-11","30p","11",42529,20,1
"380","30p-11","30p","11",42529,20,1
"381","30p-12","30p","12",42529,20,1
"382","30p-12","30p","12",42529,20,1
"383","30p-12","30p","12",42529,20,1
"384","30p-13","30p","13",42529,20,1
"385","30p-14","30p","14",42530,19,1
"386","30p-14","30p","14",42530,19,1
"387","30p-15","30p","15",42530,19,1
"388","30p-19","30p","19",42531,18,1
"389","30p-19","30p","19",42531,18,1
"390","30p-19","30p","19",42531,18,1
"391","30p-19","30p","19",42531,18,1
"392","35u-11","35u","11",42529,20,1
"393","35u-16","35u","16",42530,19,1
"394","35u-17","35u","17",42531,18,1
"395","35u-17","35u","17",42531,18,1
"396","70j-19","70j","19",42531,18,1
"397","71k-12","71k","12",42529,20,1
"398","71k-12","71k","12",42529,20,1
"399","71k-12","71k","12",42529,20,1
"400","71k-12","71k","12",42529,20,1
"401","71k-12","71k","12",42529,20,1
"402","71k-12","71k","12",42529,20,1
"403","71k-12","71k","12",42529,20,1
"404","71k-12","71k","12",42529,20,1
"405","71k-14","71k","14",42530,19,1
"406","71k-14","71k","14",42530,19,1
