"","trt","value","date","offspring","vialnum","date2","date3","trt_date","egg_laying_duration","cum_female","vial","interval","fecundity","trt_date2"
"168","13g-15","125","42544",125,"15","1",14,"13g-15_42544",0.770138888889051,11,"13g",4,59.0212312484506,"13g_14"
"169","13g-16","239","42544",239,"16","1",14,"13g-16_42544",0.770138888889051,9,"13g",4,137.926059513046,"13g_14"
"170","13g-17","236","42544",236,"17","2",13,"13g-17_42544",0.779861111106584,28,"13g",4,43.2311410764499,"13g_13"
"171","13g-18","155","42544",155,"18","2",13,"13g-18_42544",0.779861111106584,20,"13g",4,39.7506678541934,"13g_13"
"172","13g-19","258+","42544",500,"19","2",13,"13g-19_42544",0.779861111106584,31,"13g",4,82.7277166580507,"13g_13"
"173","15h-11","411","42544",411,"11","0",15,"15h-11_42544",0.769444444442343,28,"15h",4,76.3073749357422,"15h_15"
"174","15h-12","283","42544",283,"12","0",15,"15h-12_42544",0.769444444442343,17,"15h",4,86.540666808476,"15h_15"
"175","15h-13","296","42544",296,"13","0",15,"15h-13_42544",0.769444444442343,24,"15h",4,64.1155234658791,"15h_15"
"176","15h-14","275","42544",275,"14","1",14,"15h-14_42544",0.769444444442343,17,"15h",4,84.0942875347381,"15h_14"
"177","15h-15","354","42544",354,"15","1",14,"15h-15_42544",0.769444444442343,18,"15h",4,102.238267148294,"15h_14"
"178","15h-16","326","42544",326,"16","1",14,"15h-16_42544",0.769444444442343,23,"15h",4,73.6838800818211,"15h_14"
"179","15h-17","306","42544",306,"17","2",13,"15h-17_42544",0.779861111106584,35,"15h",4,44.8431497267582,"15h_13"
"180","15h-18","0","42544",0,"18","2",13,"15h-18_42544",0.779861111106584,23,"15h",4,0,"15h_13"
"181","15h-19","207","42544",207,"19","2",13,"15h-19_42544",0.779861111106584,10,"15h",4,106.172751558942,"15h_13"
"182","16i-11","0","42544",0,"11","0",15,"16i-11_42544",0.769444444442343,24,"16i",4,0,"16i_15"
"183","16i-12","337","42544",337,"12","0",15,"16i-12_42544",0.769444444442343,24,"16i",4,72.9963898918962,"16i_15"
"184","16i-13","0","42544",0,"13","0",15,"16i-13_42544",0.769444444442343,12,"16i",4,0,"16i_15"
"185","16i-15","0","42544",0,"15","1",14,"16i-15_42544",0.769444444442343,21,"16i",4,0,"16i_14"
"186","16i-17","160","42544",160,"17","2",13,"16i-17_42544",0.779861111106584,33,"16i",4,24.868453007511,"16i_13"
